id;cnc_nb;visa_nb;title;movie_type;has_ad;movie_public
263;1900015094;069672;"THEATRE ET REALITE RUSSES SELON ANTOINE VITEZ: PARTIE 1 ""IVANOV D'ANTON TCHEKHOV"" PARTIE II "" LE DON";DOCUMENTAIRE;;
264;1900015128;069743;LA BOURSE OU LA VIE;COMEDIE DRAMATIQUE;;
265;1900015136;069766;THEODORE;COMEDIE;;
266;1900015177;069912;LE DEUXIEME SOUFFLE;THRILLER;;
267;1900015221;070223;BURBS;COMEDIE;;
268;1900015236;070311;CHECK THE CHANGES;DOCUMENTAIRE;;
269;1900015245;070350;LES OEUFS A LA COQUE;DOCUMENTAIRE;;ND
270;1900015356;071158;ABYSS;FANTASTIQUE;;TP
271;1900015366;071211;OCTOBRE A PARIS;DOCUMENTAIRE;;
272;1900015370;071247;FINIS TERRAE;DOCUMENTAIRE;OUI;TP
273;1900015421;071521;LA POUDRE;DRAME;;
274;1900015428;071533;LA NUIT MIRACULEUSE;HISTOIRE;;
275;1900015471;071961;NE SOIS PAS TRISTE;COMEDIE DRAMATIQUE;;
276;1900015473;071963;LE NOTRE PARMI LES AUTRES;AVENTURES;;TP
277;1900015504;072054;OUBLIER OU NE PAS OUBLIER;DRAME;;
278;1900015512;072067;LE BANQUIER;DRAME;;
279;1900015594;072403;SHANGAI BLUES;COMEDIE;;
280;1900015616;072521;TINPIS RUN;DRAME;;
281;1900015766;073183;LES SAISONS;DOCUMENTAIRE;;
282;1900015858;073904;PLEINE LUNE;HORREUR;;
283;1900015898;074300;LA FIEVRE MONTE A EL PAO;DRAME;;
284;1900016044;075011;L'EUROPEEN-BORDERLINE;DOCUMENTAIRE;;TP
285;1900016191;076068;DANS LA SOLITUDE DES CHAMPS DE COTON;DRAME;;TP
286;1900016245;076535;SOCIETY;HORREUR;;
287;1900016247;076539;AVANT QUE LA CHAUVE SOURIS N ACHEVE SON VOL;DRAME;;
288;1900016275;076628;WADI 10 ANS APRES;DOCUMENTAIRE;;
289;1900016393;077307;RSVP;THRILLER;;
290;1900016459;077988;MERCEDES;DRAME;;
291;1900016536;078563;TERRE FROIDE;DRAME;;
292;1900016549;078623;O SANTO DAIME;DOCUMENTAIRE;;
293;1900016573;078867;REVE DE SIAM;DRAME;;
294;1900016617;079284;LA LUNE DANS LE MIROIR;DRAME;;
295;1900016665;079522;LA MORT DE DANTON;DOCUMENTAIRE;;
296;1900016721;079762;MAYA;DRAME;;TP
297;1900016742;079959;YOU'LL NEVER WALK ALONE;DOCUMENTAIRE;;
298;1900016768;080336;BRAND NEW DAY;DOCUMENTAIRE;;
299;1900016789;080463;MOTOR PSYCHO;THRILLER;;
300;1900016811;080626;OH PARDON ! TU DORMAIS ?;DRAME;;
301;1900016834;080700;IL ETAIT UNE FOIS BEYROUTH,HISTOIRE D UNE STAR;DOCUMENTAIRE;;
302;1900016858;080781;EMILE DES ROSES;DRAME;;
303;1900016939;081358;LE JOUR DE L'ECLIPSE;SCIENCE FICTION;;TP
304;1900016945;081382;MURUROA MON AMOUR;DOCUMENTAIRE;;TP
305;1900016959;081467;LA DEUDA INTERNA;COMEDIE DRAMATIQUE;;TP
306;1900016968;081496;JOE ET MARIE;DRAME;;
307;1900016998;081671;LE LOUP;AVENTURES;;
308;1900017004;081682;LE TOMBEAU D'ALEXANDRE;DOCUMENTAIRE;;TP
309;1900017078;081959;KODOU;DRAME;;
310;1900017099;082024;LE LONG SILENCE;DRAME;;
311;1900017129;082174;LES AVENTURES DE GOOPY ET BAGHA;AVENTURES;;TP
312;1900017131;082194;CREPUSCULE;DRAME;;
313;1900017143;082235;LE MIRACLE DES LOUPS;HISTOIRE;;
314;1900017154;082284;FRANCESCO;DOCUMENTAIRE;;
315;1900017160;082296;DANS LA VALLEE DE LA WUPPER;DOCUMENTAIRE;;
316;1900017163;082303;JACQUES LE FATALISTE;COMEDIE DRAMATIQUE;;
317;1900017241;082643;LE SOLDAT AMERICAIN;DRAME;;
318;1900017268;082790;ETUDES SUR PARIS;DOCUMENTAIRE;;
319;1900017367;082990;TRES IRMAOS;DRAME;;
320;1900017460;083903;JOCK;ANIMATION;;
321;1900017466;083918;LES SILENCES DU COEUR;DRAME;;
322;1900017508;084137;LES VIVANTS ET LES MORTS DE SARAJEVO;DOCUMENTAIRE;;
323;1900017584;084674;LA CHALEUR DU SEIN;COMEDIE DRAMATIQUE;;
324;1900017607;084768;SICK;HORREUR;;
325;1900017613;084779;LE RESTE EST SILENCE;DRAME;;TP
326;1900017687;085060;LE VISAGE;HORREUR;;
327;1900017722;085107;L'EVEIL;THRILLER;;
328;1900017743;085173;LA DANSE DU FEU;DRAME;;ND
329;1900017796;085429;LE BRASIER ARDENT;DRAME;;
330;1900017804;085440;LES OMBRES QUI PASSENT;DRAME;;
331;1900017886;085622;PARIS EN CINQ JOURS;COMEDIE;;
332;1900017935;085866;HEIMAT 2;COMEDIE DRAMATIQUE;;
333;1900017965;086088;MATANGA;DRAME;;
334;1900017986;086153;L'ETRANGE AFFAIRE DE MONSIEUR K;THRILLER;;
335;1900017992;086173;LA FOLIE CARAIBE;COMEDIE DRAMATIQUE;;
336;1900017995;086199;LES HOMMES DU PORT;DOCUMENTAIRE;;ND
337;1900018016;086278;REPUBBLICA NOSTRA;DOCUMENTAIRE;;
338;1900018047;086363;SILMANDE (TOURBILLON);DRAME;;
339;1900018056;086411;LES YEUX D'ASIE;DRAME;;
340;1900018086;086547;THE STORE;DOCUMENTAIRE;;
341;1900018091;086564;LE FACTEUR VIII;DRAME;;
342;1900018098;086591;BOLT;THRILLER;;
343;1900018109;086636;L'AUBERGE ROUGE;COMEDIE;;
344;1900018111;086639;LA GLACE A TROIS FACES;DRAME;;
345;1900018125;086675;CRAZY;DRAME;;
346;1900018174;086949;IN AND OUT OF FASHION;DOCUMENTAIRE;;
347;1900018186;087005;SIGNES DE FEU;DRAME;;
348;1900018245;087268;LA PARTITION DE FAIENCE;DRAME;;
349;1900018324;087535;MARSEILLE CONTRE MARSEILLE;DOCUMENTAIRE;;
350;1900018325;087536;NAAPET;COMEDIE DRAMATIQUE;;
351;1900018364;087631;UN MARCHAND, DES ARTISTES ET DES COLLECTIONNEURS;DOCUMENTAIRE;;TP
352;1900018423;087829;UNE AUTRE SOLITUDE;DOCUMENTAIRE;;TP
353;1900018450;087961;CABOOSE;DRAME;;
354;1900018462;088038;TETES DE PAPIER;DOCUMENTAIRE;;ND
355;1900018467;088089;LA MORT EST UN CHEVAL BLANC;DRAME;;
356;1900018597;088515;LE GRAND VOYAGE;DRAME;;
357;1900018608;088534;LA COMMISSION DE LA VERITE;DOCUMENTAIRE;;
358;1900018620;088604;LE BARAQUEMENT;DRAME;;
359;1900018629;088641;LES PRISONNIERS DU CAUCASE;GUERRE;;
360;1900018633;088649;LA NUIT DES REVENANTS;HORREUR;;ND
361;1900018642;088670;NE PARS PAS;DRAME;;
362;1900018645;088674;PIERROT-PIERRETTE;DRAME;;TP
363;1900018653;088701;LE QUATUOR DES POSSIBLES;DOCUMENTAIRE;;
364;1900018677;088844;DEAD PRESIDENTS;DRAME;;
365;1900018702;089024;PASSION;DRAME;;ND
366;1900018719;089067;LE DERNIER DES PELICANS;DRAME;;
367;1900018733;089138;LE CINEMA : UNE HISTOIRE DE PLANS;DOCUMENTAIRE;;
368;1900018737;089158;LE NEUVIEME JOUR;DRAME;;
369;1900018780;089341;LA JUMELLE;COMEDIE DRAMATIQUE;;
370;1900018803;089402;L'EMPIRE DU MILIEU DU SUD;DOCUMENTAIRE;;TP
371;1900018848;089621;LE VOYAGE;DRAME;;
372;1900018875;089695;FOUR ROOMS;COMEDIE;;ND
373;1900018883;089735;LE ONZIEME COMMANDEMENT;COMEDIE DRAMATIQUE;;
374;1900018948;089974;ALICE LA MALICE;FANTASTIQUE;;
375;1900018959;090007;LE CRABE SUR LA BANQUETTE ARRIERE;DRAME;;
376;1900018961;090013;LA JOCONDE DU NORD;DRAME;;
377;1900018964;090023;ECHEC ET MAT;DRAME;;ND
378;1900018967;090032;CHANTS DE SABLE ET D'ETOILES;DOCUMENTAIRE;;TP
379;1900018986;090150;PLANETE TRANS;DOCUMENTAIRE;;
380;1900019004;090201;UNE ENVELOPPE POUR DEUX;DRAME;;
381;1900019005;090202;EDWIGE ET MARYLINE;DOCUMENTAIRE;;
382;1900019008;090212;POUR L'HONNEUR D'UN FLIC;POLICIER;;
383;1900019010;090215;LA MONTEE;COMEDIE DRAMATIQUE;;
384;1900019016;090234;QUE DEVIENDRONT-ILS ?;DOCUMENTAIRE;;
385;1900019023;090245;TRANCHES DE CAKE;COMEDIE;;
386;1900019056;090330;LA NOUBA;DOCUMENTAIRE;;
387;1900019129;090728;LES ALBANAIS D'UN CARREFOUR A L'AUTRE;DRAME;;
388;1900019141;090771;JUSTICE;COMEDIE DRAMATIQUE;;
389;1900019153;090816;LES HAUTS DE HURLEVENT;DRAME;;
390;1900019155;090824;LA PLANETE DES VAMPIRES;SCIENCE FICTION;;TP
391;1900019156;090827;SAN LAZZARO;DRAME;;
392;1900019157;090829;MEANDRES;HORREUR;;
